2024-7393,Canberra CH,C,Challenger 125,20240101,canberra
2024-2791,Nonthaburi 1 CH,C,Challenger 75,20240101,nonthaburi 1
2024-2205,Noumea CH,C,Challenger 100,20240101,noumea
2024-2831,Oeiras 1 CH,C,Challenger 50,20240101,oeiras 1
2024-1210,Buenos Aires CH,C,Challenger 50,20240108,buenos aires
2024-2795,Nonthaburi 2 CH,C,Challenger 75,20240108,nonthaburi 2
2024-2833,Oeiras 2 CH,C,Challenger 75,20240108,oeiras 2
2024-9678,Buenos Aires CH,C,Challenger 50,20240115,buenos aires
2024-2903,Indian Wells 1 CH,C,Challenger 50,20240115,indian wells 1
2024-2801,Nonthaburi 3 CH,C,Challenger 75,20240115,nonthaburi 3
2024-9623,Tenerife CH,C,Challenger 100,20240115,tenerife
2024-2905,Indian Wells 2 CH,C,Challenger 50,20240122,indian wells 2
2024-2901,Punta Del Este CH,C,Challenger 75,20240122,punta del este
2024-2837,Ottignies-Louvain-la-Neuve CH,C,Challenger 125,20240122,ottignieslouvainlaneuve
2024-6239,Quimper CH,C,Challenger 125,20240122,quimper
2024-5018,Burnie CH,C,Challenger 75,20240129,burnie
2024-9154,Cleveland CH,C,Challenger 75,20240129,cleveland
2024-7652,Koblenz CH,C,Challenger 100,20240129,koblenz
2024-2835,Piracicaba CH,C,Challenger 75,20240129,piracicaba
2024-7203,Burnie 2 CH,C,Challenger 75,20240205,burnie 2
2024-7849,Chennai CH,C,Challenger 100,20240205,ennai
2024-2907,Nottingham CH,C,Challenger 75,20240205,nottingham
2024-7808,Bengaluru CH,C,Challenger 100,20240212,bengaluru
2024-0398,Cherbourg CH,C,Challenger 75,20240212,erbourg
2024-7916,Glasgow CH,C,Challenger 50,20240212,glasgow
2024-9635,Manama CH,C,Challenger 125,20240212,manama
2024-9162,Pau CH,C,Challenger 125,20240219,pau
2024-7100,Pune CH,C,Challenger 100,20240219,pune
2024-2839,Tenerife 2 CH,C,Challenger 75,20240219,tenerife 2
2024-2913,Kigali 1 CH,C,Challenger 50,20240226,kigali 1
2024-7874,Lille CH,C,Challenger 100,20240226,lille
2024-6961,New Delhi CH,C,Challenger 75,20240226,new delhi
2024-2915,Kigali 2 CH,C,Challenger 50,20240304,kigali 2
2024-9516,Lugano CH,C,Challenger 75,20240304,lugano
2024-9479,Santa Cruz De La Sierra CH,C,Challenger 75,20240304,santa cruz de la sierra
2024-8297,Hamburg CH,C,Challenger 50,20240311,hamburg
2024-3406,Santiago CH,C,Challenger 75,20240311,santiago
2024-2827,Szekesfehervar CH,C,Challenger 75,20240311,szekesfehervar
